property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,drive in places,thaltej,0.56,5059.0,2.0,2.0,1,2.0,Old Property,1107.0,0.0,0.0,0.0,0.0,0.0,2.0,61.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,shaligram 3,thaltej,9.8,19943.0,5.0,5.0,2,2.0,Moderately Old,4914.0,1.0,0.0,1.0,1.0,0.0,1.0,212.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,gulab park bungalow,thaltej,3.0,15723.0,3.0,3.0,1,1.0,Relatively New,1908.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,aditya residency,thaltej,2.75,11752.0,4.0,4.0,1,2.0,Old Property,2340.0,0.0,0.0,1.0,1.0,0.0,1.0,40.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,axis venetian villas,thaltej,7.2,11577.0,5.0,5.0,2,1.0,Relatively New,6219.0,0.0,1.0,0.0,1.0,0.0,0.0,96.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,shaligram 3,thaltej,9.8,19943.0,4.0,5.0,1,1.0,Old Property,4914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,2.7,13333.0,4.0,3.0,3,3.0,Old Property,2025.0,0.0,0.0,1.0,1.0,0.0,1.0,115.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,popular someshwara park,thaltej,1.9,13194.0,4.0,4.0,2,2.0,Old Property,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,gala eternia,thaltej,1.6,9169.0,3.0,3.0,3+,9.0,Relatively New,1745.0,0.0,0.0,1.0,1.0,0.0,0.0,49.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,anurita bungalows,thaltej,16.0,29482.0,4.0,4.0,3,2.0,Under Construction,5427.0,1.0,1.0,0.0,1.0,0.0,0.0,199.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,suprabhat apartment,thaltej,0.68,3148.0,3.0,3.0,1,4.0,Old Property,2160.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,goyal intercity,thaltej,2.2,8429.0,4.0,3.0,0,0.0,Old Property,2610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,sandipani bungalow,thaltej,5.0,17921.0,4.0,4.0,2,2.0,Moderately Old,2790.0,1.0,1.0,1.0,1.0,0.0,1.0,148.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,arman bungalow,thaltej,3.4,17250.0,4.0,4.0,1,2.0,Old Property,1971.0,1.0,0.0,1.0,1.0,0.0,1.0,104.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,avirat gulab tower,thaltej,2.6,12037.0,4.0,4.0,2,2.0,Old Property,2160.0,1.0,0.0,0.0,1.0,0.0,2.0,25.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,vrundavan 7,thaltej,8.5,22170.0,5.0,5.0,1,3.0,Relatively New,3834.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,on request,thaltej,4.0,16162.0,4.0,4.0,1,2.0,Relatively New,2475.0,0.0,1.0,1.0,1.0,0.0,2.0,83.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,suryam sukriti bungalows,thaltej,4.0,10458.0,4.0,4.0,1,2.0,Old Property,3825.0,0.0,1.0,1.0,1.0,0.0,1.0,75.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,dharmnandan dwarkesh greens,thaltej,3.0,8333.0,4.0,4.0,2,4.0,Relatively New,2876.0,0.0,0.0,0.0,0.0,0.0,2.0,141.0,"23.0504° N, 72.4991° E",23.0504,72.4991
